id;company_name;description;contact;email;street_address;postal_code;city;state_province;country;industry;employees_count
1;application Distributed paradigms;Paradigm;Buckinghamshire embrace;Zelma_Quigley@yahoo.com;identical Classical Elegant;pixel;McCulloughberg;Diesel Zimbabwe;China;loftily;30747
2;lux quaerat;weakly Intersex;program Fish;Lennie53@gmail.com;orchid extranet;Minivan envisioneer moral;Camillefort;judgment South Dynamic;Mali;nesciunt Pickup;16938
3;Idaho thoughtfully success;likewise Djibouti;Cadillac Handcrafted;Claudine_McKenzie53@gmail.com;on;North owlishly;West Graciestead;brr cultivar;Aruba;Research Hybrid female;31620
4;Ridge International bah;Account;white;Amparo91@hotmail.com;Future Rubber;Run;Louisville/Jefferson County;male hub;Mayotte;Metal Extended Maxine;9086
5;empower Kazakhstan;boohoo;Cobalt occaecati Bespoke;Bobbie_McLaughlin@hotmail.com;Northeast;protocol Maldives Northwest;Fort Kirstenboro;pixel female Data;Japan;male Northeast Intersex;5423
6;female Phosphorus;back Pop Architect;Jazz East;Breanna.Rath67@yahoo.com;West;Cambridgeshire;Leslieport;Northwest Grocery;Montserrat;Southwest quantify Franc;16582
7;Recumbent Analyst;West bypass;Supervisor North;Arch.Krajcik69@yahoo.com;Jaguar;orchid;North Shirley;Peru;Serbia;Granite payment;28633
8;Indiana;Future;abut Diesel;Teagan40@yahoo.com;Buckinghamshire Zinc compress;katal Optional strategize;North Samantha;female Azerbaijan;Cyprus;Frozen Livermorium;8518
9;withdrawal Bode;Bicycle scour Savings;Coupe Tuna;Jaquan82@gmail.com;Gorgeous;Liaison parse Bicycle;Fort Giovannytown;firewall;Romania;short;24558
10;qui Pizza;Recycled drive Cab;parsing Ergonomic;Emelie76@yahoo.com;Manager Account;kelvin becquerel Royce;Rockville;Northwest;Pitcairn Islands;Bronze;19300
